frame,queue_count,red_light_violations,rash_driving,total_vehicles
0,0,0,0,0
1,0,0,0,0
2,4,0,0,10
3,4,0,0,11
4,4,0,0,11
5,5,0,0,14
6,5,0,0,15
7,5,0,0,16
8,5,0,0,18
9,5,1,1,20
10,4,1,1,20
11,4,1,1,23
12,4,1,1,24
13,4,1,1,25
14,4,1,1,26
15,5,1,1,27
16,6,2,1,29
17,6,2,1,29
18,7,2,1,30
19,7,2,2,32
20,7,2,2,33
21,6,3,2,34
22,6,3,3,34
23,6,3,3,35
24,7,3,3,37
25,8,3,4,38
26,9,3,4,40
27,10,3,5,40
28,9,3,5,40
29,9,3,5,40
30,10,3,5,41
31,10,3,6,41
32,10,3,7,41
33,9,3,7,41
34,9,4,8,41
35,9,4,8,41
36,9,4,10,41
37,10,5,11,42
38,10,5,12,42
39,10,5,12,44
40,11,5,14,45
41,11,5,14,46
42,13,5,14,47
43,13,5,14,48
44,14,5,14,50
45,14,5,14,50
46,15,6,16,53
47,14,6,17,55
48,15,7,17,56
49,15,7,17,57
50,15,7,18,57
51,16,9,20,59
52,16,10,21,60
53,15,10,21,60
54,16,11,22,60
55,14,11,22,61
56,13,11,22,62
57,11,12,22,62
58,11,12,23,62
59,11,12,24,62
60,11,12,26,62
61,10,13,26,62
62,11,13,27,63
63,12,14,28,63
64,12,14,29,64
65,12,15,29,66
66,12,16,29,67
67,13,17,32,69
68,12,18,33,69
69,12,18,33,69
70,12,18,33,71
71,12,18,34,73
72,10,19,34,75
73,12,19,34,78
74,13,19,34,80
75,15,20,34,82
76,14,20,34,83
77,14,20,34,84
78,14,20,34,84
79,14,20,34,84
80,15,20,34,86
81,15,20,35,87
82,15,21,35,88
83,15,21,35,88
84,15,22,35,89
85,15,22,35,89
86,16,22,35,90
87,15,23,36,90
88,16,23,36,90
89,15,23,37,90
90,15,23,37,91
91,15,23,38,92
92,15,25,38,93
93,15,25,40,93
94,16,25,40,96
95,17,25,40,96
96,17,25,40,96
97,18,25,40,96
98,18,25,40,96
99,18,25,41,97
100,17,25,41,99
101,17,25,42,100
102,16,25,42,102
103,17,25,43,103
104,18,26,44,107
105,18,26,44,108
106,18,26,45,108
107,18,26,46,109
108,19,26,46,113
109,18,26,48,113
110,18,28,48,114
111,17,29,48,115
112,16,29,49,115
113,16,30,49,116
114,16,30,50,118
115,16,30,50,118
116,16,31,51,119
117,16,31,51,119
118,16,31,51,121
119,16,32,51,122
120,16,32,51,123
121,18,32,52,127
122,18,32,52,127
123,18,33,52,128
124,18,33,52,129
125,19,34,52,130
126,20,34,52,131
127,20,35,53,132
128,21,37,54,133
129,21,37,54,135
130,22,38,56,137
131,22,39,56,138
132,22,39,57,138
133,22,39,57,138
134,22,39,58,138
135,21,39,58,138
136,21,39,58,140
137,21,39,58,140
138,21,40,58,140
139,21,41,58,141
140,20,41,58,141
141,19,41,58,142
142,19,42,60,143
143,18,42,62,143
144,18,42,62,145
145,18,42,63,145
146,18,43,63,145
147,17,43,63,145
148,17,43,63,147
149,16,43,64,149
150,16,43,65,150
151,15,43,65,150
152,15,44,65,152
153,15,44,66,153
154,15,44,66,153
155,14,44,67,153
156,14,44,67,154
157,14,44,67,154
158,14,44,67,157
159,14,44,67,159
160,14,44,69,159
161,14,44,69,160
162,15,44,69,161
163,15,45,69,163
164,14,45,69,163
165,15,46,69,164
166,15,46,69,164
167,15,47,70,165
168,15,47,70,165
169,15,48,70,165
170,15,48,72,168
171,15,48,72,169
172,16,49,74,170
173,15,50,74,172
174,15,50,76,173
175,15,50,77,175
176,16,50,77,176
177,16,50,77,178
178,17,50,78,178
179,17,51,81,179
180,18,52,81,179
181,19,52,81,180
182,20,52,81,181
183,19,53,84,181
184,19,54,85,183
185,20,54,85,185
186,20,55,87,185
187,19,55,89,186
188,19,55,89,189
189,20,56,90,193
190,21,57,91,195
191,21,57,92,195
192,21,57,92,196
193,21,57,92,196
194,20,57,92,196
195,20,57,92,197
196,20,57,92,197
197,21,58,92,198
198,20,58,92,198
199,18,58,93,198
200,16,58,93,200
201,16,60,94,200
202,17,60,94,201
203,17,60,95,202
204,17,61,95,203
205,15,61,96,203
206,17,62,96,203
207,17,62,98,204
208,15,64,98,204
209,14,64,98,204
210,14,65,98,205
211,13,65,98,206
212,15,65,99,207
213,15,65,99,208
214,15,65,99,209
215,16,65,99,209
216,17,65,99,210
217,20,66,99,213
218,20,66,99,213
219,18,66,99,214
220,19,66,99,215
221,19,66,101,216
222,18,66,101,216
223,17,66,101,218
224,18,67,101,219
225,18,67,102,219
226,19,67,102,220
227,20,67,102,222
228,17,68,104,222
229,15,68,104,224
230,15,68,104,226
231,13,69,105,226
232,12,69,105,227
233,13,70,105,227
234,13,70,105,229
235,10,70,107,230
236,10,71,107,232
237,10,72,108,232
238,11,72,110,233
239,12,72,111,233
240,12,72,111,234
241,12,73,111,234
242,12,75,111,236
243,13,75,112,239
244,13,76,114,239
245,13,77,116,239
246,14,77,117,240
247,14,77,118,241
248,15,77,119,242
249,14,78,119,243
250,14,78,119,245
251,14,78,119,246
252,14,78,119,249
253,14,78,120,249
254,16,78,121,250
255,16,79,122,251
256,16,79,122,251
257,16,82,122,251
258,14,83,122,252
259,13,83,122,252
260,13,84,122,253
261,13,84,123,255
262,13,84,123,256
263,14,84,123,256
264,14,84,123,256
265,13,85,123,256
266,13,85,123,256
267,13,85,123,258
268,13,85,124,259
269,13,85,124,259
270,14,86,125,261
271,14,86,125,261
272,13,86,125,262
273,13,86,125,262
274,13,86,125,262
275,13,86,126,262
276,14,86,126,263
277,14,87,126,264
278,14,87,126,264
279,15,87,126,265
280,14,87,126,265
281,14,87,126,266
282,13,87,126,266
283,11,87,126,267
284,11,87,127,267
285,10,87,127,267
286,10,87,127,268
287,10,87,127,268
288,10,87,128,268
289,8,87,128,268
290,8,88,128,268
291,8,88,128,268
292,9,88,128,269
293,9,88,128,270
294,10,88,129,271
295,10,88,129,271
296,10,89,129,271
297,10,89,130,271
298,10,89,131,272
299,10,90,131,272
300,11,90,131,273
301,11,90,132,273
302,10,90,133,273
303,9,90,133,273
304,9,90,133,273
305,9,90,133,273
306,9,90,133,273
307,8,90,133,275
308,8,90,133,275
309,8,90,133,275
310,9,90,133,275
311,8,90,133,275
312,9,90,133,276
313,9,90,133,276
314,9,90,133,277
315,10,90,133,279
316,10,90,135,280
317,10,90,135,282
318,10,91,135,282
319,9,91,135,282
320,9,91,135,282
321,8,92,136,282
322,7,92,136,282
323,8,92,136,283
324,8,93,136,283
325,8,95,137,283
326,7,95,137,283
327,7,95,138,283
328,6,95,138,284
329,6,95,138,284
330,6,95,138,284
331,6,95,139,284
332,5,95,139,284
333,5,95,139,284
334,4,95,139,284
335,4,95,139,285
336,4,95,139,285
337,3,95,139,285
338,4,95,139,287
339,4,95,139,289
340,4,95,139,290
341,4,95,139,290
342,4,95,139,291
343,4,95,139,291
344,5,96,139,291
345,5,96,139,292
346,5,96,139,292
347,5,96,139,292
348,5,96,139,292
349,5,96,139,292
350,5,96,139,293
351,6,96,139,293
352,7,96,139,294
353,7,96,139,294
354,7,96,139,295
355,6,96,139,295
356,6,96,139,297
357,6,96,141,297
358,6,96,141,297
359,4,96,141,298
360,4,96,142,298
361,4,96,142,299
362,4,96,142,299
363,4,96,142,299
364,4,96,142,300
365,4,96,143,300
366,4,96,143,300
367,4,97,143,300
368,4,98,143,301
369,6,99,144,304
370,6,100,145,304
371,6,100,145,305
372,6,100,145,305
373,6,100,145,305
374,6,100,145,305
375,6,100,146,306
376,6,100,146,307
377,6,101,146,307
378,8,101,146,307
379,6,101,146,307
380,6,101,147,307
381,6,101,147,307
382,7,101,147,309
383,7,101,147,309
384,6,101,147,309
385,7,101,147,309
386,8,101,147,309
387,6,101,147,309
388,7,101,147,309
389,6,102,147,309
390,5,103,147,310
391,5,103,147,310
392,6,103,147,310
393,6,103,148,310
394,6,103,148,310
395,6,103,148,311
396,6,103,148,311
397,6,103,148,311
398,7,103,149,312
399,7,104,149,312
400,7,105,149,313
401,6,105,150,313
402,7,105,150,314
403,6,105,150,314
404,6,105,150,314
405,6,106,151,314
406,6,106,152,316
407,5,106,152,316
408,5,106,152,317
409,4,106,152,318
410,4,106,152,319
411,4,107,152,319
412,4,107,152,319
413,3,107,152,320
414,3,107,152,322
415,3,107,152,324
416,3,107,152,326
417,3,107,152,326
418,3,108,152,326
419,3,108,152,327
420,3,108,152,327
421,4,108,153,327
422,4,108,153,328
423,4,108,153,328
424,5,108,153,331
